지역,온도,습도
강릉,11.4,94
강진군,11.4,97
강화,9.7,75
거제,12.2,94
거창,8.9,99
경주시,12.2,88
고산,14.8,96
고창,10.1,92
고창군,9.8,95
고흥,10.6,99
광양시,11.3,93
광주,11.1,96
구미,10.8,87
군산,10.1,89
금산,8.2,100
김해시,11.3,90
남원,9.4,99
남해,11.5,95
대관령,6.1,92
대구,11.5,92
대전,9.2,89
동두천,8.0,87
동해,10.9,99
목포,11.6,93
문경,9.8,100
밀양,11.6,93
백령도,9.5,59
보령,8.6,88
보성군,12.0,93
보은,8.9,100
봉화,9.8,100
부산,12.4,98
부안,10.2,95
부여,8.9,96
북강릉,10.1,98
북창원,10.9,98
북춘천,7.9,97
산청,9.5,100
상주,9.1,96
서귀포,15.4,93
서산,9.1,85
서울,10.3,69
성산,14.4,94
세종,9.2,88
속초,9.5,92
수원,9.8,90
순창군,9.8,100
순천,10.8,94
안동,9.6,96
양산시,12.4,94
양평,8.9,93
여수,13.4,80
영광군,10.5,96
영덕,13.2,94
영월,9.0,98
영주,10.2,100
영천,10.8,96
완도,12.7,89
울릉도,10.9,90
울산,12.4,97
울진,12.5,87
원주,8.9,89
의령군,9.7,95
의성,10.0,100
이천,8.4,97
인제,7.9,98
인천,10.1,71
임실,9.7,100
장수,8.5,100
장흥,11.2,99
전주,10.5,92
정선군,8.6,91
정읍,9.8,93
제주,15.1,92
제천,8.0,100
진도군,12.1,92
진주,9.9,91
창원,10.9,87
천안,7.0,100
철원,8.1,93
청송군,10.3,92
청주,10.3,74
추풍령,8.8,93
춘천,8.9,90
충주,9.0,96
태백,6.9,99
통영,11.7,100
파주,7.1,91
포항,14.3,94
함양군,9.6,92
합천,10.1,96
해남,11.3,98
홍성,8.9,94
홍천,7.7,97
흑산도,12.3,98
